"","age_upon_outcome","animal_id","animal_type","breed","color","date_of_birth","datetime","monthyear","name","outcome_subtype","outcome_type","sex_upon_outcome","location_lat","location_long","age_upon_outcome_in_weeks"
"3936","4 years","A744493","Dog","Yorkshire Terrier Mix","Silver/Tan",2013-03-02,2017-03-11 11:23:00,"2017-03-11T11:23:00","Emily","","Return to Owner","Spayed Female",30.7450464944139,-97.4374482126502,210.067757936508
"3937","8 years","A551435","Dog","German Shepherd Mix","Brown/Black",2007-08-19,2016-05-11 17:36:00,"2016-05-11T17:36:00","Sheila","","Return to Owner","Spayed Female",30.3015878853113,-97.7287286599975,455.533333333333
"3938","10 months","A693677","Cat","Domestic Shorthair Mix","Black",2014-04-12,2015-02-11 17:21:00,"2015-02-11T17:21:00","*Vinny","","Adoption","Neutered Male",30.3597236208967,-97.525296340954,43.6747023809524
"3939","2 months","A708855","Cat","Domestic Shorthair Mix","Black",2015-06-01,2015-08-11 17:01:00,"2015-08-11T17:01:00","Steve","","Adoption","Neutered Male",30.6077339185383,-97.2868673305721,10.2441468253968
"3940","3 years","A737808","Cat","Domestic Shorthair Mix","Black",2013-11-04,2016-11-11 17:54:00,"2016-11-11T17:54:00","","Suffering","Euthanasia","Intact Male",30.7600903396707,-97.3963457024542,157.677976190476
"3941","5 years","A673657","Dog","Miniature Pinscher Mix","Black/Tan",2011-02-28,2017-02-10 18:04:00,"2017-02-10T18:04:00","Gisselle","","Return to Owner","Spayed Female",30.722358921502,-97.5226500980121,310.678968253968
"3942","1 year","A730901","Other","Bat Mix","Brown",2015-07-12,2016-07-13 08:03:00,"2016-07-13T08:03:00","","Rabies Risk","Euthanasia","Unknown",30.4604717672463,-97.3051957445475,52.4764880952381
"3943","4 years","A694967","Dog","Siberian Husky Mix","Sable/Cream",2011-01-07,2015-01-08 17:35:00,"2015-01-08T17:35:00","Jewels","","Return to Owner","Intact Female",30.5857761742934,-97.4008386297284,208.961805555556
"3944","3 years","A669381","Dog","Golden Retriever Mix","Gold",2010-07-19,2013-12-21 18:26:00,"2013-12-21T18:26:00","Nugget","","Return to Owner","Neutered Male",30.3136590631578,-97.3651411761425,178.824007936508
"3945","1 month","A751690","Cat","Domestic Shorthair Mix","Brown Tabby",2017-04-19,2017-06-19 16:43:00,"2017-06-19T16:43:00","Ivy","","Adoption","Intact Female",30.7219221779243,-97.6473241665964,8.81378968253968
"3946","3 years","A674492","Dog","Chihuahua Shorthair Mix","White/Brown",2011-03-13,2014-07-05 12:12:00,"2014-07-05T12:12:00","Peeve","Partner","Transfer","Neutered Male",30.3459203133762,-97.3430193746681,172.929761904762
"3947","11 months","A650344","Dog","Boxer/Pit Bull","Brown/White",2013-01-27,2014-01-20 17:21:00,"2014-01-20T17:21:00","Trixi","","Adoption","Spayed Female",30.5644763080603,-97.3529871161466,51.246130952381
"3948","2 years","A689786","Dog","Pit Bull Mix","Black/White",2011-12-03,2014-10-09 17:07:00,"2014-10-09T17:07:00","Chansy","","Return to Owner","Neutered Male",30.6917748550044,-97.4937243439455,148.816170634921
"3949","4 months","A689986","Dog","Pit Bull Mix","White/Tan",2014-06-17,2014-10-17 17:17:00,"2014-10-17T17:17:00","*Phoebe","","Adoption","Spayed Female",30.6699773601077,-97.5413194396324,17.5314484126984
"3950","8 years","A732067","Cat","Domestic Medium Hair Mix","Calico",2008-08-01,2016-08-02 09:00:00,"2016-08-02T09:00:00","","SCRP","Transfer","Spayed Female",30.3404755135244,-97.3370883408666,417.625
"3951","8 years","A748449","Dog","Boxer Mix","Brown/White",2009-05-03,2017-05-12 09:45:00,"2017-05-12T09:45:00","*Magritte","Partner","Transfer","Neutered Male",30.4920584831822,-97.4108655294725,418.772321428571
"3952","3 months","A684112","Dog","Plott Hound Mix","Brown Brindle",2014-04-19,2014-07-24 12:46:00,"2014-07-24T12:46:00","*Tommy","Partner","Transfer","Intact Male",30.692494397803,-97.5349181565007,13.7902777777778
"3953","4 weeks","A725241","Cat","Domestic Medium Hair Mix","Gray Tabby/White",2016-03-27,2016-04-27 14:55:00,"2016-04-27T14:55:00","","Partner","Transfer","Unknown",30.6243293744586,-97.652757444863,4.51736111111111
"3954","8 months","A667834","Dog","Australian Cattle Dog Mix","Blue Tick/Brown",2013-03-23,2013-11-30 14:52:00,"2013-11-30T14:52:00","Lucky","Offsite","Adoption","Neutered Male",30.6880921488719,-97.2455496176391,36.0884920634921
"3955","4 years","A710191","Dog","Miniature Poodle Mix","Black/White",2011-08-19,2015-08-23 17:48:00,"2015-08-23T17:48:00","Asher","","Adoption","Neutered Male",30.6495943158213,-97.3362920288604,209.391666666667
"3956","10 months","A670546","Cat","Domestic Shorthair Mix","Brown Tabby/White",2013-03-09,2014-01-14 14:52:00,"2014-01-14T14:52:00","Monster","Partner","Transfer","Neutered Male",30.5096014278824,-97.3892701649238,44.5170634920635
"3957","6 years","A674551","Dog","Chihuahua Shorthair Mix","Brown",2008-03-14,2014-03-14 19:10:00,"2014-03-14T19:10:00","Moon","","Return to Owner","Intact Male",30.4038404424903,-97.6269724212922,313.114087301587
"3958","4 days","A700987","Cat","Domestic Shorthair Mix","Orange Tabby",2015-04-18,2015-04-22 14:55:00,"2015-04-22T14:55:00","","Partner","Transfer","Unknown",30.6665586652092,-97.4124374735824,0.660218253968254
"3959","1 year","A670131","Other","Rabbit Sh Mix","Brown Brindle",2013-01-02,2014-01-02 14:46:00,"2014-01-02T14:46:00","","Partner","Transfer","Unknown",30.7553914569723,-97.4415544863364,52.230753968254
"3960","1 day","A750486","Cat","Domestic Shorthair Mix","Brown Tabby",2017-05-26,2017-05-27 18:20:00,"2017-05-27T18:20:00","","Partner","Transfer","Unknown",30.746873834129,-97.4834540895173,0.251984126984127
"3961","6 days","A710355","Cat","Domestic Shorthair Mix","Black/White",2015-08-16,2015-08-22 14:37:00,"2015-08-22T14:37:00","","Partner","Transfer","Unknown",30.7536992958181,-97.5864395199253,0.944146825396825
"3962","5 days","A706505","Cat","Domestic Shorthair Mix","Black",2015-06-25,2015-06-30 12:17:00,"2015-06-30T12:17:00","","Partner","Transfer","Unknown",30.6438725952341,-97.6057194418977,0.787400793650794
"3963","2 days","A727066","Dog","Chihuahua Shorthair Mix","Black/Tan",2016-05-17,2016-05-19 13:20:00,"2016-05-19T13:20:00","","Partner","Transfer","Intact Male",30.419786183032,-97.6476999330716,0.365079365079365
"3964","2 years","A751717","Dog","Doberman Pinsch Mix","Black/Brown",2015-06-11,2017-06-12 12:32:00,"2017-06-12T12:32:00","Rosco","","Return to Owner","Intact Male",30.7107589510265,-97.5149092405164,104.646031746032
"3965","10 years","A757474","Dog","Chihuahua Longhair Mix","White",2007-09-03,2017-09-06 11:22:00,"2017-09-06T11:22:00","Booger","","Return to Owner","Neutered Male",30.6386085536124,-97.5829536457544,522.353373015873
"3966","2 years","A749730","Dog","Chihuahua Shorthair Mix","White/Brown",2015-05-18,2017-05-20 12:27:00,"2017-05-20T12:27:00","Max","","Return to Owner","Neutered Male",30.3582610237973,-97.7058760869191,104.788392857143
"3967","6 months","A737148","Cat","Domestic Shorthair Mix","Torbie",2016-04-22,2016-10-23 09:00:00,"2016-10-23T09:00:00","","SCRP","Transfer","Intact Female",30.4951317918166,-97.6262484980652,26.3392857142857
"3968","1 year","A692921","Dog","Pit Bull Mix","Blue/White",2013-11-28,2015-01-20 13:45:00,"2015-01-20T13:45:00","*Tess","Partner","Transfer","Spayed Female",30.486430768637,-97.3406129208859,59.7961309523809
"3969","1 month","A757662","Dog","Australian Shepherd Mix","White/Brown Brindle",2017-08-02,2017-09-25 18:36:00,"2017-09-25T18:36:00","*Frodo","","Adoption","Neutered Male",30.4536150698943,-97.4377187325435,7.825
"3970","2 years","A723586","Dog","English Bulldog Mix","Brown/White",2014-04-03,2016-04-07 11:42:00,"2016-04-07T11:42:00","","","Adoption","Neutered Male",30.3004846809725,-97.4163769228046,105.069642857143
"3971","1 weeks","A732104","Cat","Domestic Shorthair Mix","White/Black",2016-07-23,2016-08-02 15:41:00,"2016-08-02T15:41:00","","Partner","Transfer","Unknown",30.4244620938958,-97.6215215773948,1.5219246031746
"3972","7 months","A684739","Dog","Australian Shepherd Mix","White/Brown",2014-03-27,2014-11-15 17:02:00,"2014-11-15T17:02:00","Trisha","","Return to Owner","Spayed Female",30.4093690706817,-97.4349331364876,33.3871031746032
"3973","2 years","A738199","Dog","Chinese Sharpei Mix","Brown Brindle",2014-11-10,2017-02-11 15:18:00,"2017-02-11T15:18:00","*Cy","","Adoption","Neutered Male",30.2870521986859,-97.6251884367003,117.805357142857
"3974","1 year","A741836","Dog","Chihuahua Shorthair Mix","Brown/Tan",2016-01-09,2017-01-14 18:02:00,"2017-01-14T18:02:00","*Lenny","","Adoption","Neutered Male",30.4056721665841,-97.648857674866,53.1073412698413
"3975","3 years","A694148","Dog","Border Collie","Black/White",2011-12-21,2014-12-22 18:05:00,"2014-12-22T18:05:00","Wes","","Return to Owner","Neutered Male",30.5761966044432,-97.5204312607125,156.821924603175
"3976","10 years","A669236","Cat","Domestic Shorthair Mix","Brown Tabby",2006-12-17,2016-12-23 08:44:00,"2016-12-23T08:44:00","Gigi","Foster","Adoption","Spayed Female",30.3141726748145,-97.281355179033,522.76626984127
"3977","5 years","A765008","Cat","Domestic Shorthair Mix","Brown Tabby/White",2013-01-11,2018-01-17 14:08:00,"2018-01-17T14:08:00","Biscuit","","Return to Owner","Spayed Female",30.766493629971,-97.4811629145588,261.798412698413
"3978","4 years","A662814","Dog","Pit Bull Mix","Black/White",2009-09-09,2013-12-12 13:25:00,"2013-12-12T13:25:00","*Batman","Foster","Adoption","Neutered Male",30.4512386990122,-97.5191665605034,222.222718253968
"3979","1 year","A757598","Dog","Labrador Retriever/Beagle","Brown",2016-09-04,2017-09-04 13:50:00,"2017-09-04T13:50:00","Tucker","","Return to Owner","Intact Male",30.3793182188477,-97.6865338500028,52.2251984126984
"3980","6 months","A744406","Dog","Anatol Shepherd Mix","Tan/White",2016-08-28,2017-03-10 21:36:00,"2017-03-10T21:36:00","*Ginger","","Adoption","Spayed Female",30.3325255897022,-97.464250329118,27.8428571428571
"3981","1 year","A752009","Dog","Labrador Retriever Mix","Tricolor",2016-06-21,2017-06-24 17:39:00,"2017-06-24T17:39:00","*Sparrow","","Adoption","Spayed Female",30.7090016375196,-97.5513595270186,52.6764880952381
"3982","2 weeks","A735318","Cat","Domestic Shorthair Mix","Black",2016-09-07,2016-09-22 18:46:00,"2016-09-22T18:46:00","","Partner","Transfer","Intact Male",30.6028972569988,-97.3805186451157,2.25456349206349
"3983","5 months","A728280","Cat","Domestic Shorthair Mix","Black",2016-03-17,2016-08-28 13:07:00,"2016-08-28T13:07:00","*Yulio","","Adoption","Neutered Male",30.3939071147304,-97.6840920691914,23.5066468253968
"3984","7 years","A693923","Dog","Pug Mix","Brown Brindle",2009-12-16,2017-06-23 14:54:00,"2017-06-23T14:54:00","Lilly","","Return to Owner","Spayed Female",30.4896259903477,-97.5637577667106,392.374404761905
"3985","1 year","A736593","Dog","Shih Tzu/Pit Bull","Black",2015-10-13,2016-10-14 13:02:00,"2016-10-14T13:02:00","Nina","","Return to Owner","Spayed Female",30.6136345485437,-97.3202001016992,52.5061507936508
"3986","1 month","A762977","Cat","Domestic Shorthair Mix","Black",2017-11-07,2017-12-31 17:20:00,"2017-12-31T17:20:00","","","Adoption","Neutered Male",30.6130948208058,-97.6593413818584,7.81746031746032
"3987","6 years","A729580","Dog","Border Collie Mix","Red/White",2010-06-20,2016-06-22 11:57:00,"2016-06-22T11:57:00","Blake","","Return to Owner","Neutered Male",30.5055778152503,-97.6044290292254,313.499702380952
"3988","2 years","A713481","Dog","Welsh Springer Spaniel","White/Chocolate",2013-10-07,2015-10-12 18:15:00,"2015-10-12T18:15:00","Millie","","Adoption","Spayed Female",30.4156927161417,-97.282802490002,105.108630952381
"3989","3 years","A681195","Dog","Labrador Retriever Mix","Black",2011-06-13,2014-12-29 18:38:00,"2014-12-29T18:38:00","Lucky","","Return to Owner","Neutered Male",30.5120929216714,-97.4296593182255,185.110912698413
"3990","12 years","A750579","Dog","Miniature Poodle Mix","White",2005-05-29,2017-06-06 13:16:00,"2017-06-06T13:16:00","Ferris","","Adoption","Neutered Male",30.556845467251,-97.5706153195142,627.364682539683
"3991","8 years","A690230","Dog","Catahoula Mix","White/Red Tick",2006-10-16,2014-10-16 17:58:00,"2014-10-16T17:58:00","Brownie","","Return to Owner","Neutered Male",30.4576644989732,-97.3680513759451,417.535515873016
"3992","2 months","A717881","Dog","Dachshund Wirehair Mix","Brown",2015-10-21,2015-12-22 11:59:00,"2015-12-22T11:59:00","","","Return to Owner","Intact Female",30.7367204480171,-97.568030874504,8.92847222222222
"3993","3 months","A675339","Cat","Domestic Shorthair Mix","Cream Tabby/White",2013-12-26,2014-03-28 15:04:00,"2014-03-28T15:04:00","","SCRP","Transfer","Intact Female",30.4677652094539,-97.612863847994,13.2325396825397
"3994","2 years","A728699","Dog","Dachshund Wirehair Mix","Sable",2014-06-07,2016-06-16 17:21:00,"2016-06-16T17:21:00","*Nugget","","Adoption","Neutered Male",30.3065584776117,-97.5325925287863,105.81755952381
"3995","5 years","A694815","Dog","Whippet/Labrador Retriever","Yellow",2010-01-05,2015-01-05 14:03:00,"2015-01-05T14:03:00","Star","","Return to Owner","Spayed Female",30.7406526218918,-97.7151133018225,260.940773809524
"3996","1 month","A667199","Cat","Domestic Medium Hair Mix","Black",2013-10-14,2013-11-22 11:51:00,"2013-11-22T11:51:00","*Aramis","Partner","Transfer","Intact Male",30.2755223315637,-97.280269077454,5.64196428571429
"3997","1 year","A711888","Other","Bat Mix","Brown/Red",2014-09-13,2015-09-13 12:57:00,"2015-09-13T12:57:00","","Rabies Risk","Euthanasia","Unknown",30.4937263276896,-97.3007188531293,52.2199404761905
"3998","8 years","A561806","Dog","Pit Bull Mix","Brown Brindle/White",2008-11-30,2017-06-05 15:31:00,"2017-06-05T15:31:00","Dasia","","Return to Owner","Spayed Female",30.7273783612205,-97.5197723475145,444.235218253968
"3999","2 years","A753764","Dog","Pomeranian Mix","White/Brown",2015-07-10,2017-07-11 13:19:00,"2017-07-11T13:19:00","Princess","","Return to Owner","Intact Female",30.5760201544922,-97.4276334750313,104.650694444444
"4000","2 years","A667835","Dog","Staffordshire Mix","Black",2011-11-23,2014-02-07 14:42:00,"2014-02-07T14:42:00","*Bishop","","Adoption","Neutered Male",30.2843584527897,-97.61614600976,115.373214285714
"4001","3 years","A679994","Other","Bat","Brown",2011-05-28,2014-05-28 17:48:00,"2014-05-28T17:48:00","","","Died","Unknown",30.7551978714981,-97.4292128662064,156.677380952381
"4002","8 months","A702190","Dog","Boxer Mix","Black/White",2014-09-10,2015-05-23 12:22:00,"2015-05-23T12:22:00","Napoleon","","Adoption","Neutered Male",30.3888163085226,-97.283056533824,36.5021825396825
"4003","10 years","A526238","Cat","Domestic Shorthair Mix","Black/White",2003-07-01,2014-01-27 11:05:00,"2014-01-27T11:05:00","Cookie","Foster","Adoption","Spayed Female",30.3097849273172,-97.317771921675,551.923115079365
"4004","1 year","A667934","Dog","Australian Cattle Dog","White/Red",2012-03-25,2014-01-27 14:38:00,"2014-01-27T14:38:00","Charlie","","Return to Owner","Spayed Female",30.601528249311,-97.3688600045734,96.2299603174603
"4005","8 years","A749270","Dog","Chihuahua Shorthair Mix","Brown",2009-05-13,2017-05-23 07:28:00,"2017-05-23T07:28:00","*Maisy","Foster","Adoption","Spayed Female",30.4634203738435,-97.6728048113266,418.901587301587
"4006","3 years","A673459","Dog","Yorkshire Terrier Mix","Chocolate/Tan",2014-01-24,2017-08-17 15:26:00,"2017-08-17T15:26:00","Jack","","Adoption","Neutered Male",30.4019749975903,-97.2832338850026,185.949007936508
"4007","1 year","A747394","Other","Bat","Brown",2016-04-19,2017-04-19 15:10:00,"2017-04-19T15:10:00","","","Disposal","Unknown",30.3508547408555,-97.6770467731501,52.2331349206349
"4008","2 years","A740768","Other","Bat Mix","Brown",2014-12-22,2016-12-23 08:27:00,"2016-12-23T08:27:00","","Rabies Risk","Euthanasia","Unknown",30.5686903286918,-97.6895160389168,104.621726190476
"4009","2 years","A704585","Dog","Wirehaired Pointing Griffon Mix","Black/Tan",2013-06-06,2015-06-09 18:08:00,"2015-06-09T18:08:00","Sophie","","Return to Owner","Spayed Female",30.3246808987523,-97.5583222146365,104.822222222222
"4010","8 months","A752231","Cat","Domestic Shorthair Mix","Black",2016-10-19,2017-07-01 19:28:00,"2017-07-01T19:28:00","*Zoey","","Adoption","Spayed Female",30.5732001129999,-97.5099896014417,36.5444444444444
"4011","8 years","A721559","Dog","Miniature Poodle Mix","Brown",2008-02-29,2016-03-12 14:23:00,"2016-03-12T14:23:00","*Milton","","Adoption","Neutered Male",30.6567546750517,-97.7058692019447,419.228472222222
"4012","1 year","A742840","Cat","Domestic Shorthair Mix","Brown Tabby",2016-01-29,2017-02-08 14:03:00,"2017-02-08T14:03:00","*George","Partner","Transfer","Neutered Male",30.7470689677349,-97.3549844508297,53.7979166666667
"4013","1 month","A678753","Cat","Domestic Shorthair Mix","Black/White",2014-04-12,2014-05-30 16:59:00,"2014-05-30T16:59:00","*Leopard","Partner","Transfer","Intact Female",30.4130286520836,-97.2805421070054,6.95823412698413
"4014","1 year","A711935","Other","Bat","Brown",2014-09-14,2015-09-14 10:59:00,"2015-09-14T10:59:00","","Rabies Risk","Euthanasia","Unknown",30.5902797019419,-97.2824389025888,52.2082341269841
"4015","3 years","A691068","Dog","Chihuahua Shorthair/Dachshund","Brown/Black",2011-10-29,2014-11-09 15:53:00,"2014-11-09T15:53:00","","Partner","Transfer","Intact Male",30.6169993026999,-97.3896742111468,158.237400793651
"4016","3 weeks","A674004","Bird","Duck Mix","Yellow",2014-02-11,2014-03-06 12:28:00,"2014-03-06T12:28:00","","Partner","Transfer","Unknown",30.3020574105922,-97.7222039950104,3.35992063492063
"4017","2 years","A667955","Dog","Labrador Retriever Mix","Tan/White",2011-11-25,2013-12-26 18:22:00,"2013-12-26T18:22:00","*Pollie","","Adoption","Spayed Female",30.5056290836791,-97.5603113987693,108.966468253968
"4018","4 months","A669942","Dog","Australian Shepherd Mix","Black/White",2013-08-30,2014-01-03 09:42:00,"2014-01-03T09:42:00","","","Adoption","Neutered Male",30.7376345907955,-97.6513460488066,18.0577380952381
"4019","1 year","A741682","Dog","Australian Kelpie Mix","Black/Brown",2016-01-06,2017-01-23 19:06:00,"2017-01-23T19:06:00","*Venus","","Adoption","Spayed Female",30.6710095061893,-97.4720285816912,54.8279761904762
"4020","5 months","A699324","Dog","Labrador Retriever Mix","Black/White",2014-10-10,2015-03-26 18:55:00,"2015-03-26T18:55:00","Maggie","","Return to Owner","Spayed Female",30.4910991899127,-97.5727749141997,23.9697420634921
"4021","2 months","A756430","Dog","Boxer Mix","Tan/White",2017-06-15,2017-08-23 18:29:00,"2017-08-23T18:29:00","","","Adoption","Neutered Male",30.7181211269121,-97.3607134727894,9.9671626984127
"4022","2 months","A761234","Cat","Domestic Medium Hair Mix","Black/White",2017-10-01,2017-12-12 10:04:00,"2017-12-12T10:04:00","*Wilbur","Foster","Adoption","Neutered Male",30.4830742062759,-97.3474577325366,10.3456349206349
"4023","2 years","A669459","Cat","Domestic Shorthair Mix","Tortie",2011-12-21,2013-12-26 10:14:00,"2013-12-26T10:14:00","","SCRP","Transfer","Intact Female",30.7569207635021,-97.561510140203,105.20376984127
"4024","2 months","A739449","Dog","Labrador Retriever Mix","Tan/White",2016-09-18,2016-12-07 16:59:00,"2016-12-07T16:59:00","*Marco","","Adoption","Neutered Male",30.4626582652656,-97.5465556562445,11.5296626984127
"4025","1 year","A714564","Dog","Plott Hound Mix","Brown Brindle",2014-08-25,2015-12-26 16:57:00,"2015-12-26T16:57:00","Rocky","","Adoption","Neutered Male",30.2939413713678,-97.6871753025989,69.8151785714286
"4026","7 years","A537149","Dog","Dachshund","Black/Brown",2007-03-09,2014-05-06 12:39:00,"2014-05-06T12:39:00","Lucky","Suffering","Euthanasia","Neutered Male",30.7117320461951,-97.5041410975242,373.646726190476
"4027","2 months","A701961","Dog","Labrador Retriever Mix","Black/White",2015-02-13,2015-05-13 17:05:00,"2015-05-13T17:05:00","","","Adoption","Spayed Female",30.5708016077266,-97.670097842701,12.8159722222222
"4028","2 years","A743967","Dog","Chihuahua Shorthair Mix","Tan",2015-02-20,2017-03-16 11:23:00,"2017-03-16T11:23:00","Como Tu","","Return to Owner","Spayed Female",30.7318882891301,-97.5745883410615,107.924900793651
"4029","5 years","A740759","Dog","Catahoula Mix","Blue Merle/White",2011-12-22,2017-01-02 18:16:00,"2017-01-02T18:16:00","Gabby","","Adoption","Spayed Female",30.5458802186875,-97.2448149470668,262.680158730159
"4030","8 years","A696804","Dog","Chihuahua Longhair Mix","White/Tan",2007-02-12,2015-02-24 18:01:00,"2015-02-24T18:01:00","Holly","Partner","Transfer","Spayed Female",30.5222160004186,-97.2727485708578,419.250099206349
"4031","7 years","A693062","Dog","Pit Bull Mix","Tan/White",2007-12-01,2014-12-01 16:25:00,"2014-12-01T16:25:00","Simon","","Return to Owner","Neutered Male",30.4357648062394,-97.4896824469776,365.383432539683
"4032","1 year","A691463","Dog","German Shepherd Mix","Tan/Black",2013-11-04,2014-11-05 16:13:00,"2014-11-05T16:13:00","Moose","","Return to Owner","Neutered Male",30.5863370809376,-97.7004659726529,52.3822420634921
"4033","3 weeks","A750310","Cat","Domestic Shorthair Mix","Calico",2017-05-03,2017-05-25 18:59:00,"2017-05-25T18:59:00","Wally","Partner","Transfer","Intact Female",30.5559155844173,-97.2653463789339,3.25585317460317
"4034","1 year","A714882","Dog","Catahoula Mix","Brown Brindle/White",2014-10-29,2015-11-30 00:00:00,"2015-11-30T00:00:00","*Annie","Partner","Transfer","Spayed Female",30.5352090206896,-97.6517834492801,56.7142857142857
"4035","5 years","A678174","Dog","Pit Bull Mix","Red/White",2012-05-05,2017-09-24 14:18:00,"2017-09-24T14:18:00","Scarlet Rose","","Return to Owner","Intact Female",30.7397353938874,-97.7241275116373,281.227976190476
"4036","3 months","A708834","Cat","Domestic Shorthair Mix","Black/White",2015-07-30,2015-11-03 10:22:00,"2015-11-03T10:22:00","","Foster","Adoption","Spayed Female",30.7521979721899,-97.314178761571,13.7759920634921
"4037","12 years","A718895","Cat","Domestic Shorthair Mix","Blue",2004-01-10,2016-01-10 12:19:00,"2016-01-10T12:19:00","Warf","","Return to Owner","Neutered Male",30.7016390307131,-97.3100339073972,626.216170634921
"4038","1 year","A729345","Dog","Dachshund Mix","Black",2015-06-16,2016-06-20 17:39:00,"2016-06-20T17:39:00","*Popeye","","Adoption","Neutered Male",30.7097859799408,-97.3237250306145,52.9622023809524
"4039","1 year","A704024","Other","Bat","Brown",2014-05-31,2015-06-01 08:33:00,"2015-06-01T08:33:00","","Rabies Risk","Euthanasia","Unknown",30.6284515078682,-97.5891062404961,52.3366071428571
"4040","1 year","A740949","Other","Bat","Brown",2015-12-26,2016-12-26 08:43:00,"2016-12-26T08:43:00","","Rabies Risk","Euthanasia","Unknown",30.6818416196096,-97.3830327420922,52.3375992063492
"4041","2 years","A669523","Other","Bat Mix","Brown",2011-12-21,2013-12-22 08:26:00,"2013-12-22T08:26:00","","","Euthanasia","Unknown",30.7665933418514,-97.5507170704897,104.621626984127
"4042","1 day","A674669","Dog","Pit Bull Mix","White",2014-03-16,2014-03-17 13:34:00,"2014-03-17T13:34:00","","","Return to Owner","Intact Female",30.5149182585294,-97.42550516283,0.223611111111111
"4043","6 months","A715067","Dog","Pit Bull Mix","Black/White",2015-05-01,2015-11-02 14:03:00,"2015-11-02T14:03:00","Yayo","","Return to Owner","Intact Male",30.3134829063353,-97.7168414265698,26.5122023809524
"4044","2 years","A722062","Cat","Domestic Shorthair Mix","Orange Tabby",2014-03-10,2016-03-21 14:14:00,"2016-03-21T14:14:00","*Charlemagne","Partner","Transfer","Neutered Male",30.323388953052,-97.4692672829959,106.084722222222
"4045","2 months","A735316","Dog","Rat Terrier Mix","Tricolor",2016-07-22,2016-09-23 17:35:00,"2016-09-23T17:35:00","Corzo","","Return to Owner","Intact Male",30.6152939202106,-97.7012907367055,9.1046626984127
"4046","4 months","A708113","Cat","Domestic Medium Hair Mix","Brown Tabby",2015-03-23,2015-08-03 00:00:00,"2015-08-03T00:00:00","Dinker","Partner","Transfer","Neutered Male",30.5574377410766,-97.3855715888438,19
"4047","3 months","A685105","Cat","Domestic Shorthair Mix","Black",2014-04-17,2014-08-08 14:32:00,"2014-08-08T14:32:00","*Tero","Partner","Transfer","Intact Male",30.5543748588914,-97.6243214604117,16.2293650793651
"4048","5 months","A717277","Cat","Domestic Shorthair Mix","Orange Tabby",2015-07-05,2015-12-09 19:37:00,"2015-12-09T19:37:00","","SCRP","Transfer","Neutered Male",30.3817223681502,-97.2809010984716,22.5453373015873
"4049","3 years","A697461","Cat","Domestic Shorthair Mix","Torbie",2012-02-24,2015-04-04 15:11:00,"2015-04-04T15:11:00","Agatha","Partner","Transfer","Spayed Female",30.4554837364186,-97.6582671820137,162.233234126984
"4050","10 months","A693984","Dog","Belgian Malinois Mix","Tan/Black",2014-02-18,2014-12-22 17:20:00,"2014-12-22T17:20:00","","Partner","Transfer","Neutered Male",30.4686074295773,-97.4161550075079,43.9603174603175
"4051","3 years","A677903","Cat","Domestic Shorthair Mix","Blue Tabby",2011-04-30,2014-06-14 16:03:00,"2014-06-14T16:03:00","*Leon","","Adoption","Neutered Male",30.5425697247754,-97.6905409254516,163.095535714286
"4052","2 years","A662329","Dog","Pit Bull/Catahoula","White/Brown",2012-11-02,2015-04-07 13:01:00,"2015-04-07T13:01:00","*Dexter","Foster","Adoption","Neutered Male",30.6705512046018,-97.6981568293751,126.648908730159
"4053","7 months","A753434","Dog","Labrador Retriever Mix","Black/White",2016-12-06,2017-07-16 13:04:00,"2017-07-16T13:04:00","*Buster","","Adoption","Neutered Male",30.7464877767896,-97.291592041103,31.7920634920635
"4054","3 years","A699100","Dog","Labrador Retriever/Miniature Poodle","Brown",2012-03-22,2015-04-01 11:19:00,"2015-04-01T11:19:00","Rusty","","Return to Owner","Neutered Male",30.4485944094465,-97.6214663236742,157.924503968254
"4055","2 years","A686223","Cat","Domestic Shorthair Mix","Orange Tabby",2012-08-18,2014-08-19 09:00:00,"2014-08-19T09:00:00","","SCRP","Transfer","Neutered Male",30.6539976287517,-97.3711090706983,104.482142857143
"4056","1 year","A680889","Dog","Dachshund Mix","Red",2012-12-09,2014-06-14 12:26:00,"2014-06-14T12:26:00","Hansel","","Adoption","Neutered Male",30.4881230757164,-97.4041316137773,78.9311507936508
"4057","3 weeks","A755352","Cat","Domestic Shorthair Mix","Black",2017-07-12,2017-08-02 15:34:00,"2017-08-02T15:34:00","","Partner","Transfer","Intact Female",30.6538174725792,-97.449118245699,3.09265873015873
"4058","1 weeks","A677703","Cat","Domestic Shorthair Mix","Blue Tabby",2014-04-18,2014-04-28 10:37:00,"2014-04-28T10:37:00","","Partner","Transfer","Intact Male",30.4095457167488,-97.622306560911,1.49176587301587
"4059","2 years","A657415","Dog","Bull Terrier Mix","White",2011-06-27,2013-10-15 18:29:00,"2013-10-15T18:29:00","Perla","","Return to Owner","Spayed Female",30.4341082560643,-97.5880348906079,120.252876984127
"4060","11 months","A676653","Dog","Labrador Retriever Mix","Tan/White",2013-05-13,2014-04-18 09:35:00,"2014-04-18T09:35:00","","Partner","Transfer","Intact Male",30.5945758007399,-97.7109160984904,48.6284722222222
"4061","2 months","A681777","Cat","Domestic Shorthair Mix","Black/White",2014-04-07,2014-06-25 17:09:00,"2014-06-25T17:09:00","","","Adoption","Spayed Female",30.6913948748226,-97.3757317210683,11.3877976190476
